NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Cheatham County, Tennessee",2022BL,Accommodation and food services,BEA and NAICS,72,1800,877.0,945.3877779102556
"Cheatham County, Tennessee",2023,Public Administration,NAICS,92,NA,0,1215.415368113872
"Cheatham County, Tennessee",2026,Public Administration,NAICS,92,NA,0,1209.9573808488294
"Cheatham County, Tennessee",2036,Utilities,BEA and NAICS,22,300,37.67190388170056,54.814368629358526
"Cheatham County, Tennessee",2049,Utilities,BEA and NAICS,22,300,39.119421705835755,56.9205742477121
"Cheatham County, Tennessee",2036,Transportation and warehousing,BEA and NAICS,48-49,800,1355.5,1485.2556491405605
"Cheatham County, Tennessee",2024,Accommodation and food services,BEA and NAICS,72,1800,945.3571428571429,1019.0753576023973
"Cheatham County, Tennessee",2036,Total employment (number of jobs),BEA and NAICS,NA,10,19072.0,19072.0
"Cheatham County, Tennessee",2036,Retail trade,BEA and NAICS,44-45,700,1517.0,1517.0
"Cheatham County, Tennessee",2036,Real estate and rental and leasing,BEA and NAICS,53,1100,1091.5,1091.5
"Cheatham County, Tennessee",2024,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1011.7857142857142,1061.225013457644
"Cheatham County, Tennessee",2036,"Professional, scientific, and technical services",BEA and NAICS,54,1200,837.7167282809612,869.7268894567048
"Cheatham County, Tennessee",2036,Other services (except government and government enterprises),BEA and NAICS,81,1900,1251.0,1251.0
"Cheatham County, Tennessee",2047,Real estate and rental and leasing,BEA and NAICS,53,1100,1242.107142857143,1242.107142857143
"Cheatham County, Tennessee",2036,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.743068391866913,17.743068391866913
"Cheatham County, Tennessee",2050,Total employment (number of jobs),BEA and NAICS,NA,10,21306.0,21306.0
"Cheatham County, Tennessee",2024,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",483.01458938473723,483.01458938473723
"Cheatham County, Tennessee",2036,Management of companies and enterprises,BEA and NAICS,55,1300,131.15503696857672,131.15503696857672
"Cheatham County, Tennessee",2047,Retail trade,BEA and NAICS,44-45,700,1546.5,1546.5
"Cheatham County, Tennessee",2036,Information,BEA and NAICS,51,900,170.5,170.5
"Cheatham County, Tennessee",2036,Health care and social assistance,BEA and NAICS,62,1600,931.2493068391867,934.5001574803949
"Cheatham County, Tennessee",2024,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,576.5,576.5
"Cheatham County, Tennessee",2036,Government,BEA,NA,2000,1883.5,0
"Cheatham County, Tennessee",2036,Finance and insurance,BEA and NAICS,52,1000,567.0,567.0
"Cheatham County, Tennessee",2036,Educational services,BEA and NAICS,61,1500,338.4246765249538,654.0936798304932
"Cheatham County, Tennessee",2049,Wholesale trade,BEA and NAICS,42,600,224.71653023501452,224.71653023501452
"Cheatham County, Tennessee",2024,Construction,BEA and NAICS,23,400,1931.142857142857,1984.2096514109962
"Cheatham County, Tennessee",2036,Manufacturing,BEA and NAICS,31-33,500,2819.5,2819.5
"Cheatham County, Tennessee",2036,Construction,BEA and NAICS,23,400,2107.0,2164.899256447757
"Cheatham County, Tennessee",2036,Public Administration,NAICS,92,NA,0,1152.0452940464156
"Cheatham County, Tennessee",2037,Accommodation and food services,BEA and NAICS,72,1800,1499.1785714285713,1616.0833504373186
"Cheatham County, Tennessee",2037,Utilities,BEA and NAICS,22,300,37.5524821758648,54.640604504599025
"Cheatham County, Tennessee",2037,Transportation and warehousing,BEA and NAICS,48-49,800,1391.75,1524.9756913990225
"Cheatham County, Tennessee",2037,Total employment (number of jobs),BEA and NAICS,NA,10,19224.0,19224.0
"Cheatham County, Tennessee",2037,Retail trade,BEA and NAICS,44-45,700,1520.5,1520.5
"Cheatham County, Tennessee",2023,Retail trade,BEA and NAICS,44-45,700,1492.5,1492.5
"Cheatham County, Tennessee",2037,Real estate and rental and leasing,BEA and NAICS,53,1100,1104.4642857142858,1104.4642857142858
"Cheatham County, Tennessee",2037,"Professional, scientific, and technical services",BEA and NAICS,54,1200,841.3083905466068,873.4557934463495
"Cheatham County, Tennessee",2037,Other services (except government and government enterprises),BEA and NAICS,81,1900,1257.2142857142858,1257.2142857142858
"Cheatham County, Tennessee",2037,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.689992078162135,17.689992078162135
"Cheatham County, Tennessee",2047,"Professional, scientific, and technical services",BEA and NAICS,54,1200,867.2250132030631,900.3627213460429
"Cheatham County, Tennessee",2023,Total employment (number of jobs),BEA and NAICS,NA,10,17292.0,17292.0
"Cheatham County, Tennessee",2037,Manufacturing,BEA and NAICS,31-33,500,2811.964285714286,2811.964285714286
"Cheatham County, Tennessee",2049,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",411.5005611301822,411.5005611301822
"Cheatham County, Tennessee",2049,Transportation and warehousing,BEA and NAICS,48-49,800,1894.75,2076.1255191509235
"Cheatham County, Tennessee",2023,Transportation and warehousing,BEA and NAICS,48-49,800,970.25,1063.127475897181
"Cheatham County, Tennessee",2037,Information,BEA and NAICS,51,900,167.96428571428572,167.96428571428572
"Cheatham County, Tennessee",2037,Health care and social assistance,BEA and NAICS,62,1600,938.7314992078162,942.0084690522073
"Cheatham County, Tennessee",2037,Government,BEA,NA,2000,1890.8214285714287,0
"Cheatham County, Tennessee",2037,Finance and insurance,BEA and NAICS,52,1000,563.9285714285714,563.9285714285714
"Cheatham County, Tennessee",2023,Utilities,BEA and NAICS,22,300,38.224386057565354,55.61825583782302
"Cheatham County, Tennessee",2037,Educational services,BEA and NAICS,61,1500,343.6086282017428,664.1130143044211
"Cheatham County, Tennessee",2037,Construction,BEA and NAICS,23,400,2122.5714285714284,2180.8985797207115
"Cheatham County, Tennessee",2037,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,610.75,610.75
"Cheatham County, Tennessee",2037,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",442.50729469236865,442.50729469236865
"Cheatham County, Tennessee",2023,Wholesale trade,BEA and NAICS,42,600,231.34631634539213,231.34631634539213
"Cheatham County, Tennessee",2037,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1303.392857142857,1367.0810754019315
"Cheatham County, Tennessee",2037,Management of companies and enterprises,BEA and NAICS,55,1300,130.78682004224981,130.78682004224981
"Cheatham County, Tennessee",2036,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,609.5,609.5
"Cheatham County, Tennessee",2036,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",446.0078558225508,446.0078558225508
"Cheatham County, Tennessee",2048,Retail trade,BEA and NAICS,44-45,700,1549.0,1549.0
"Cheatham County, Tennessee",2035,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",448.508416952733,448.508416952733
"Cheatham County, Tennessee",2035,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1259.607142857143,1321.1558418509583
"Cheatham County, Tennessee",2035,Accommodation and food services,BEA and NAICS,72,1800,1402.8214285714287,1512.2123525222728
"Cheatham County, Tennessee",2034,Public Administration,NAICS,92,NA,0,1164.4000528986683
"Cheatham County, Tennessee",2024,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.379984156324266,17.379984156324266
"Cheatham County, Tennessee",2034,Wholesale trade,BEA and NAICS,42,600,227.46448376023235,227.46448376023235
"Cheatham County, Tennessee",2050,Accommodation and food services,BEA and NAICS,72,1800,2241.0,2415.7514370545987
"Cheatham County, Tennessee",2034,Utilities,BEA and NAICS,22,300,37.91074729337206,55.16189687887753
"Cheatham County, Tennessee",2034,Transportation and warehousing,BEA and NAICS,48-49,800,1285.0,1408.0070152309997
"Cheatham County, Tennessee",2047,Utilities,BEA and NAICS,22,300,39.35826511750726,57.268102497231105
"Cheatham County, Tennessee",2024,Other services (except government and government enterprises),BEA and NAICS,81,1900,1158.4285714285713,1158.4285714285713
"Cheatham County, Tennessee",2034,Total employment (number of jobs),BEA and NAICS,NA,10,18763.0,18763.0
"Cheatham County, Tennessee",2024,Manufacturing,BEA and NAICS,31-33,500,2894.9285714285716,2894.9285714285716
"Cheatham County, Tennessee",2034,Retail trade,BEA and NAICS,44-45,700,1511.0,1511.0
"Cheatham County, Tennessee",2024,"Professional, scientific, and technical services",BEA and NAICS,54,1200,771.6167810932137,801.1011839884347
"Cheatham County, Tennessee",2034,"Professional, scientific, and technical services",BEA and NAICS,54,1200,829.5334037496699,861.23087027774
"Cheatham County, Tennessee",2034,Other services (except government and government enterprises),BEA and NAICS,81,1900,1237.5714285714287,1237.5714285714287
"Cheatham County, Tennessee",2034,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.849221019276474,17.849221019276474
"Cheatham County, Tennessee",2034,Manufacturing,BEA and NAICS,31-33,500,2832.5714285714284,2832.5714285714284
"Cheatham County, Tennessee",2024,Real estate and rental and leasing,BEA and NAICS,53,1100,915.9285714285714,915.9285714285714
"Cheatham County, Tennessee",2034,Management of companies and enterprises,BEA and NAICS,55,1300,131.8914708212305,131.8914708212305
"Cheatham County, Tennessee",2034,Information,BEA and NAICS,51,900,176.57142857142856,176.57142857142856
"Cheatham County, Tennessee",2034,Health care and social assistance,BEA and NAICS,62,1600,914.2849221019277,917.4765526389212
"Cheatham County, Tennessee",2034,Government,BEA,NA,2000,1869.857142857143,0
"Cheatham County, Tennessee",2050,Retail trade,BEA and NAICS,44-45,700,1554.0,1554.0
"Cheatham County, Tennessee",2024,Retail trade,BEA and NAICS,44-45,700,1469.0,1469.0
"Cheatham County, Tennessee",2034,Real estate and rental and leasing,BEA and NAICS,53,1100,1063.5714285714287,1063.5714285714287
"Cheatham County, Tennessee",2035,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,607.25,607.25
"Cheatham County, Tennessee",2035,Construction,BEA and NAICS,23,400,2092.4285714285716,2149.9274126510477
"Cheatham County, Tennessee",2035,Educational services,BEA and NAICS,61,1500,334.24072484816475,646.0071053625641
"Cheatham County, Tennessee",2024,Educational services,BEA and NAICS,61,1500,275.2172564034856,531.928906137359
"Cheatham County, Tennessee",2036,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1281.5,1344.1184586264449
"Cheatham County, Tennessee",2036,Accommodation and food services,BEA and NAICS,72,1800,1450.5,1563.6088618686724
"Cheatham County, Tennessee",2035,Public Administration,NAICS,92,NA,0,1157.3014273538288
"Cheatham County, Tennessee",2047,Total employment (number of jobs),BEA and NAICS,NA,10,20809.0,20809.0
"Cheatham County, Tennessee",2035,Wholesale trade,BEA and NAICS,42,600,227.74795352521784,227.74795352521784
"Cheatham County, Tennessee",2024,Finance and insurance,BEA and NAICS,52,1000,558.8571428571429,558.8571428571429
"Cheatham County, Tennessee",2035,Utilities,BEA and NAICS,22,300,37.791325587536306,54.98813275411803
"Cheatham County, Tennessee",2035,Transportation and warehousing,BEA and NAICS,48-49,800,1320.25,1446.6313321857801
"Cheatham County, Tennessee",2035,Total employment (number of jobs),BEA and NAICS,NA,10,18918.0,18918.0
"Cheatham County, Tennessee",2024,Government,BEA,NA,2000,1796.642857142857,0
"Cheatham County, Tennessee",2035,Retail trade,BEA and NAICS,44-45,700,1514.5,1514.5
"Cheatham County, Tennessee",2035,Real estate and rental and leasing,BEA and NAICS,53,1100,1077.5357142857142,1077.5357142857142
"Cheatham County, Tennessee",2035,"Professional, scientific, and technical services",BEA and NAICS,54,1200,834.1250660153156,865.9979854670602
"Cheatham County, Tennessee",2035,Other services (except government and government enterprises),BEA and NAICS,81,1900,1244.7857142857142,1244.7857142857142
"Cheatham County, Tennessee",2024,Health care and social assistance,BEA and NAICS,62,1600,826.4629984156325,829.3480558847795
"Cheatham County, Tennessee",2035,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.79614470557169,17.79614470557169
"Cheatham County, Tennessee",2049,Public Administration,NAICS,92,NA,0,1055.6972245947695
"Cheatham County, Tennessee",2035,Manufacturing,BEA and NAICS,31-33,500,2826.035714285714,2826.035714285714
"Cheatham County, Tennessee",2035,Management of companies and enterprises,BEA and NAICS,55,1300,131.5232538949036,131.5232538949036
"Cheatham County, Tennessee",2024,Information,BEA and NAICS,51,900,204.92857142857144,204.92857142857144
"Cheatham County, Tennessee",2035,Information,BEA and NAICS,51,900,173.03571428571428,173.03571428571428
"Cheatham County, Tennessee",2047,Transportation and warehousing,BEA and NAICS,48-49,800,1801.25,1973.6752032566835
"Cheatham County, Tennessee",2035,Health care and social assistance,BEA and NAICS,62,1600,922.7671144705572,925.988355059658
"Cheatham County, Tennessee",2035,Government,BEA,NA,2000,1876.1785714285713,0
"Cheatham County, Tennessee",2024,Management of companies and enterprises,BEA and NAICS,55,1300,132.5736400844996,132.5736400844996
"Cheatham County, Tennessee",2035,Finance and insurance,BEA and NAICS,52,1000,569.0714285714286,569.0714285714286
"Cheatham County, Tennessee",2023,Real estate and rental and leasing,BEA and NAICS,53,1100,913.9642857142858,913.9642857142858
"Cheatham County, Tennessee",2048,Total employment (number of jobs),BEA and NAICS,NA,10,20973.0,20973.0
"Cheatham County, Tennessee",2037,Wholesale trade,BEA and NAICS,42,600,227.3148930551888,227.3148930551888
"Cheatham County, Tennessee",2037,Public Administration,NAICS,92,NA,0,1145.658707579755
"Cheatham County, Tennessee",2022WP,Utilities,BEA and NAICS,22,300,36.0,52.38167088272547
"Cheatham County, Tennessee",2040,Other services (except government and government enterprises),BEA and NAICS,81,1900,1274.857142857143,1274.857142857143
"Cheatham County, Tennessee",2040,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,18.530763137047796,18.530763137047796
"Cheatham County, Tennessee",2040,Manufacturing,BEA and NAICS,31-33,500,2792.3571428571427,2792.3571428571427
"Cheatham County, Tennessee",2040,Management of companies and enterprises,BEA and NAICS,55,1300,130.6821692632691,130.6821692632691
"Cheatham County, Tennessee",2022WP,Wholesale trade,BEA and NAICS,42,600,216.0,216.0
"Cheatham County, Tennessee",2040,Information,BEA and NAICS,51,900,159.35714285714286,159.35714285714286
"Cheatham County, Tennessee",2040,Health care and social assistance,BEA and NAICS,62,1600,961.1780763137048,964.5334037676442
"Cheatham County, Tennessee",2040,Government,BEA,NA,2000,1911.7857142857142,0
"Cheatham County, Tennessee",2047,Information,BEA and NAICS,51,900,139.60714285714286,139.60714285714286
"Cheatham County, Tennessee",2022WP,Public Administration,NAICS,92,NA,0,1239.8274841169891
"Cheatham County, Tennessee",2040,Finance and insurance,BEA and NAICS,52,1000,552.7142857142857,552.7142857142857
"Cheatham County, Tennessee",2040,"Professional, scientific, and technical services",BEA and NAICS,54,1200,851.0833773435437,883.6042942156083
"Cheatham County, Tennessee",2040,Educational services,BEA and NAICS,61,1500,358.16048323210987,692.2382577202063
"Cheatham County, Tennessee",2040,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,615.5,615.5
"Cheatham County, Tennessee",2023,Accommodation and food services,BEA and NAICS,72,1800,911.6785714285714,982.7705573674498
"Cheatham County, Tennessee",2040,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",434.005611301822,434.005611301822
"Cheatham County, Tennessee",2040,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1367.0714285714287,1433.8711989104024
"Cheatham County, Tennessee",2049,"Professional, scientific, and technical services",BEA and NAICS,54,1200,870.4083377343544,903.667684526631
"Cheatham County, Tennessee",2040,Accommodation and food services,BEA and NAICS,72,1800,1651.2142857142858,1779.9746914767372
"Cheatham County, Tennessee",2023,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1011.8928571428571,1061.3373916800363
"Cheatham County, Tennessee",2039,Public Administration,NAICS,92,NA,0,1133.0524140498344
"Cheatham County, Tennessee",2039,Wholesale trade,BEA and NAICS,42,600,226.88183258515974,226.88183258515974
"Cheatham County, Tennessee",2039,Utilities,BEA and NAICS,22,300,38.31363876419329,55.74812266848905
"Cheatham County, Tennessee",2023,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",486.51515051491947,486.51515051491947
"Cheatham County, Tennessee",2039,Transportation and warehousing,BEA and NAICS,48-49,800,1466.25,1606.6072265233101
"Cheatham County, Tennessee",2040,Construction,BEA and NAICS,23,400,2167.285714285714,2226.8415905870856
"Cheatham County, Tennessee",2049,Other services (except government and government enterprises),BEA and NAICS,81,1900,1317.7857142857142,1317.7857142857142
"Cheatham County, Tennessee",2040,Real estate and rental and leasing,BEA and NAICS,53,1100,1146.357142857143,1146.357142857143
"Cheatham County, Tennessee",2040,Retail trade,BEA and NAICS,44-45,700,1529.0,1529.0
"Cheatham County, Tennessee",2022WP,Other services (except government and government enterprises),BEA and NAICS,81,1900,1154.0,1154.0
"Cheatham County, Tennessee",2041,Manufacturing,BEA and NAICS,31-33,500,2784.8214285714284,2784.8214285714284
"Cheatham County, Tennessee",2041,Management of companies and enterprises,BEA and NAICS,55,1300,130.31395233694218,130.31395233694218
"Cheatham County, Tennessee",2041,Information,BEA and NAICS,51,900,156.82142857142856,156.82142857142856
"Cheatham County, Tennessee",2047,Government,BEA,NA,2000,1959.0357142857142,0
"Cheatham County, Tennessee",2041,Health care and social assistance,BEA and NAICS,62,1600,968.6602686823343,972.0417153394567
"Cheatham County, Tennessee",2022WP,"Professional, scientific, and technical services",BEA and NAICS,54,1200,726.0,753.7413309643205
"Cheatham County, Tennessee",2041,Government,BEA,NA,2000,1919.107142857143,0
"Cheatham County, Tennessee",2049,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,19.05307631370478,19.05307631370478
"Cheatham County, Tennessee",2041,Finance and insurance,BEA and NAICS,52,1000,548.6428571428571,548.6428571428571
"Cheatham County, Tennessee",2041,Educational services,BEA and NAICS,61,1500,363.34443490889885,702.2575921941342
"Cheatham County, Tennessee",2022WP,Real estate and rental and leasing,BEA and NAICS,53,1100,771.0,771.0
"Cheatham County, Tennessee",2041,Construction,BEA and NAICS,23,400,2182.8571428571427,2242.84091386004
"Cheatham County, Tennessee",2041,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,616.75,616.75
"Cheatham County, Tennessee",2041,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",431.5050501716398,431.5050501716398
"Cheatham County, Tennessee",2022WP,Retail trade,BEA and NAICS,44-45,700,1446.0,1446.0
"Cheatham County, Tennessee",2041,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1387.9642857142858,1455.7849522768945
"Cheatham County, Tennessee",2041,Accommodation and food services,BEA and NAICS,72,1800,1704.892857142857,1837.8390761566163
"Cheatham County, Tennessee",2040,Public Administration,NAICS,92,NA,0,1125.2210568906278
"Cheatham County, Tennessee",2040,Wholesale trade,BEA and NAICS,42,600,227.16530235014523,227.16530235014523
"Cheatham County, Tennessee",2022WP,Total employment (number of jobs),BEA and NAICS,NA,10,16640.0,16640.0
"Cheatham County, Tennessee",2040,Utilities,BEA and NAICS,22,300,38.19421705835754,55.574358543729545
"Cheatham County, Tennessee",2047,Health care and social assistance,BEA and NAICS,62,1600,1005.5534228941115,1009.0636579789349
"Cheatham County, Tennessee",2040,Transportation and warehousing,BEA and NAICS,48-49,800,1505.5,1649.6144446928172
"Cheatham County, Tennessee",2040,Total employment (number of jobs),BEA and NAICS,NA,10,19692.0,19692.0
"Cheatham County, Tennessee",2050,Utilities,BEA and NAICS,22,300,39.0,56.746810122952596
"Cheatham County, Tennessee",2022WP,Transportation and warehousing,BEA and NAICS,48-49,800,884.0,968.6211684546333
"Cheatham County, Tennessee",2039,Total employment (number of jobs),BEA and NAICS,NA,10,19537.0,19537.0
"Cheatham County, Tennessee",2034,Finance and insurance,BEA and NAICS,52,1000,571.1428571428571,571.1428571428571
"Cheatham County, Tennessee",2047,Management of companies and enterprises,BEA and NAICS,55,1300,127.10465077898073,127.10465077898073
"Cheatham County, Tennessee",2048,Transportation and warehousing,BEA and NAICS,48-49,800,1847.5,2024.3524985519628
"Cheatham County, Tennessee",2038,Retail trade,BEA and NAICS,44-45,700,1523.0,1523.0
"Cheatham County, Tennessee",2038,Real estate and rental and leasing,BEA and NAICS,53,1100,1118.4285714285713,1118.4285714285713
"Cheatham County, Tennessee",2047,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,18.15922894111434,18.15922894111434
"Cheatham County, Tennessee",2038,"Professional, scientific, and technical services",BEA and NAICS,54,1200,844.9000528122525,877.1846974359943
"Cheatham County, Tennessee",2050,Transportation and warehousing,BEA and NAICS,48-49,800,1943.0,2128.9942650535663
"Cheatham County, Tennessee",2023,Management of companies and enterprises,BEA and NAICS,55,1300,126.94185701082651,126.94185701082651
"Cheatham County, Tennessee",2038,Other services (except government and government enterprises),BEA and NAICS,81,1900,1263.4285714285713,1263.4285714285713
"Cheatham County, Tennessee",2038,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,18.636915764457353,18.636915764457353
"Cheatham County, Tennessee",2038,Manufacturing,BEA and NAICS,31-33,500,2805.4285714285716,2805.4285714285716
"Cheatham County, Tennessee",2023,Manufacturing,BEA and NAICS,31-33,500,2928.464285714286,2928.464285714286
"Cheatham County, Tennessee",2038,Management of companies and enterprises,BEA and NAICS,55,1300,131.4186031159229,131.4186031159229
"Cheatham County, Tennessee",2038,Information,BEA and NAICS,51,900,164.42857142857144,164.42857142857144
"Cheatham County, Tennessee",2023,Information,BEA and NAICS,51,900,216.46428571428572,216.46428571428572
"Cheatham County, Tennessee",2038,Health care and social assistance,BEA and NAICS,62,1600,946.2136915764457,949.5167806240196
"Cheatham County, Tennessee",2023,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.433060470029048,17.433060470029048
"Cheatham County, Tennessee",2038,Finance and insurance,BEA and NAICS,52,1000,560.8571428571429,560.8571428571429
"Cheatham County, Tennessee",2038,Educational services,BEA and NAICS,61,1500,348.7925798785318,674.1323487783491
"Cheatham County, Tennessee",2038,Construction,BEA and NAICS,23,400,2137.1428571428573,2195.8704235174214
"Cheatham County, Tennessee",2038,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,613.0,613.0
"Cheatham County, Tennessee",2049,Total employment (number of jobs),BEA and NAICS,NA,10,21138.0,21138.0
"Cheatham County, Tennessee",2023,Other services (except government and government enterprises),BEA and NAICS,81,1900,1153.2142857142858,1153.2142857142858
"Cheatham County, Tennessee",2047,Other services (except government and government enterprises),BEA and NAICS,81,1900,1309.357142857143,1309.357142857143
"Cheatham County, Tennessee",2038,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",440.0067335621864,440.0067335621864
"Cheatham County, Tennessee",2038,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1324.2857142857142,1388.9948287684235
"Cheatham County, Tennessee",2023,"Professional, scientific, and technical services",BEA and NAICS,54,1200,783.025118827568,812.9454479939205
"Cheatham County, Tennessee",2038,Accommodation and food services,BEA and NAICS,72,1800,1548.857142857143,1669.6358182282117
"Cheatham County, Tennessee",2038,Government,BEA,NA,2000,1898.142857142857,0
"Cheatham County, Tennessee",2049,Retail trade,BEA and NAICS,44-45,700,1551.5,1551.5
"Cheatham County, Tennessee",2038,Total employment (number of jobs),BEA and NAICS,NA,10,19381.0,19381.0
"Cheatham County, Tennessee",2038,Transportation and warehousing,BEA and NAICS,48-49,800,1429.0,1565.7914589611662
"Cheatham County, Tennessee",2023,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,584.25,584.25
"Cheatham County, Tennessee",2039,Real estate and rental and leasing,BEA and NAICS,53,1100,1132.392857142857,1132.392857142857
"Cheatham County, Tennessee",2039,"Professional, scientific, and technical services",BEA and NAICS,54,1200,847.4917150778981,879.8753902259637
"Cheatham County, Tennessee",2039,Other services (except government and government enterprises),BEA and NAICS,81,1900,1269.642857142857,1269.642857142857
"Cheatham County, Tennessee",2039,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,18.583839450752574,18.583839450752574
"Cheatham County, Tennessee",2023,Construction,BEA and NAICS,23,400,1948.5714285714287,2002.1171508541197
"Cheatham County, Tennessee",2039,Manufacturing,BEA and NAICS,31-33,500,2798.8928571428573,2798.8928571428573
"Cheatham County, Tennessee",2039,Management of companies and enterprises,BEA and NAICS,55,1300,131.050386189596,131.050386189596
"Cheatham County, Tennessee",2039,Information,BEA and NAICS,51,900,161.89285714285714,161.89285714285714
"Cheatham County, Tennessee",2049,Real estate and rental and leasing,BEA and NAICS,53,1100,1269.0357142857142,1269.0357142857142
"Cheatham County, Tennessee",2039,Health care and social assistance,BEA and NAICS,62,1600,953.6958839450753,957.0250921958319
"Cheatham County, Tennessee",2023,Educational services,BEA and NAICS,61,1500,272.0333047266966,525.7750916754287
"Cheatham County, Tennessee",2039,Government,BEA,NA,2000,1905.4642857142858,0
"Cheatham County, Tennessee",2039,Finance and insurance,BEA and NAICS,52,1000,556.7857142857143,556.7857142857143
"Cheatham County, Tennessee",2039,Educational services,BEA and NAICS,61,1500,352.97653155532083,682.2189232462783
"Cheatham County, Tennessee",2047,Manufacturing,BEA and NAICS,31-33,500,2742.6071428571427,2742.6071428571427
"Cheatham County, Tennessee",2023,Finance and insurance,BEA and NAICS,52,1000,590.9285714285714,590.9285714285714
"Cheatham County, Tennessee",2039,Construction,BEA and NAICS,23,400,2152.714285714286,2211.8697467903758
"Cheatham County, Tennessee",2039,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,614.25,614.25
"Cheatham County, Tennessee",2039,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",437.50617243200423,437.50617243200423
"Cheatham County, Tennessee",2023,Government,BEA,NA,2000,1786.3214285714287,0
"Cheatham County, Tennessee",2039,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1346.1785714285713,1411.9574455439101
"Cheatham County, Tennessee",2039,Accommodation and food services,BEA and NAICS,72,1800,1599.5357142857142,1724.266265241351
"Cheatham County, Tennessee",2038,Public Administration,NAICS,92,NA,0,1139.174759472405
"Cheatham County, Tennessee",2038,Wholesale trade,BEA and NAICS,42,600,227.5983628201743,227.5983628201743
"Cheatham County, Tennessee",2023,Health care and social assistance,BEA and NAICS,62,1600,827.980806047003,830.8711619532875
"Cheatham County, Tennessee",2038,Utilities,BEA and NAICS,22,300,37.43306047002905,54.46684037983952
"Cheatham County, Tennessee",2039,Retail trade,BEA and NAICS,44-45,700,1526.5,1526.5
"Cheatham County, Tennessee",2048,Utilities,BEA and NAICS,22,300,39.23884341167151,57.09433837247161
"Cheatham County, Tennessee",2050,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1576.0,1653.0087325753236
"Cheatham County, Tennessee",2034,Educational services,BEA and NAICS,61,1500,329.05677317137577,635.9877708886361
"Cheatham County, Tennessee",2029,Other services (except government and government enterprises),BEA and NAICS,81,1900,1200.5,1200.5
"Cheatham County, Tennessee",2029,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,18.11460258780037,18.11460258780037
"Cheatham County, Tennessee",2029,Manufacturing,BEA and NAICS,31-33,500,2865.25,2865.25
"Cheatham County, Tennessee",2026,Construction,BEA and NAICS,23,400,1960.2857142857142,2014.1533390044156
"Cheatham County, Tennessee",2029,Management of companies and enterprises,BEA and NAICS,55,1300,132.73255545286506,132.73255545286506
"Cheatham County, Tennessee",2029,Information,BEA and NAICS,51,900,190.25,190.25
"Cheatham County, Tennessee",2029,Health care and social assistance,BEA and NAICS,62,1600,870.87396025878,873.9140496863125
"Cheatham County, Tennessee",2029,Government,BEA,NA,2000,1833.25,0
"Cheatham County, Tennessee",2026,Educational services,BEA and NAICS,61,1500,286.58515975706365,553.9003350912138
"Cheatham County, Tennessee",2029,Finance and insurance,BEA and NAICS,52,1000,574.5,574.5
"Cheatham County, Tennessee",2049,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1555.107142857143,1631.0949792088315
