NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Humphreys County, Tennessee",2031,Utilities,BEA and NAICS,22,300,16.74570846668606,29.602091311828776
"Humphreys County, Tennessee",2033,Total employment (number of jobs),BEA and NAICS,NA,10,9721.035714285714,9721.035714285714
"Humphreys County, Tennessee",2038,Manufacturing,BEA and NAICS,31-33,500,1534.4285714285713,1534.4285714285713
"Humphreys County, Tennessee",2039,Finance and insurance,BEA and NAICS,52,1000,372.64285714285717,372.64285714285717
"Humphreys County, Tennessee",2047,Educational services,BEA and NAICS,61,1500,150.78920570264765,292.84265449028317
"Humphreys County, Tennessee",2049,Management of companies and enterprises,BEA and NAICS,55,1300,0.0,0.0
"Humphreys County, Tennessee",2022WP,Government,BEA,NA,2000,1220.0,0
"Humphreys County, Tennessee",2032,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,75.92857142857143,75.92857142857143
"Humphreys County, Tennessee",2043,Other services (except government and government enterprises),BEA and NAICS,81,1900,878.5,878.5
"Humphreys County, Tennessee",2033,Retail trade,BEA and NAICS,44-45,700,973.75,973.75
"Humphreys County, Tennessee",2027,Health care and social assistance,BEA and NAICS,62,1600,672.4560663369217,767.2658647349053
"Humphreys County, Tennessee",2022BL,Public Administration,NAICS,92,NA,0,846.160504752883
"Humphreys County, Tennessee",2042,Information,BEA and NAICS,51,900,35.285714285714285,35.285714285714285
"Humphreys County, Tennessee",2046,Other services (except government and government enterprises),BEA and NAICS,81,1900,931.4285714285714,931.4285714285714
"Humphreys County, Tennessee",2031,Public Administration,NAICS,92,NA,0,895.9650213664347
"Humphreys County, Tennessee",2033,Real estate and rental and leasing,BEA and NAICS,53,1100,218.17857142857144,218.17857142857144
"Humphreys County, Tennessee",2038,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,68.57142857142857,68.57142857142857
"Humphreys County, Tennessee",2049,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",704.0452429444283,704.0452429444283
"Humphreys County, Tennessee",2024,Wholesale trade,BEA and NAICS,42,600,151.60721559499564,151.60721559499564
"Humphreys County, Tennessee",2043,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,61.5,61.5
"Humphreys County, Tennessee",2031,Wholesale trade,BEA and NAICS,42,600,151.52065755018913,151.52065755018913
"Humphreys County, Tennessee",2044,Health care and social assistance,BEA and NAICS,62,1600,789.727669479197,901.0716291530143
"Humphreys County, Tennessee",2049,Construction,BEA and NAICS,23,400,874.6785714285714,949.3550798218201
"Humphreys County, Tennessee",2050,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,74.0,74.0
"Humphreys County, Tennessee",2045,Health care and social assistance,BEA and NAICS,62,1600,794.2730578993309,906.2578733573796
"Humphreys County, Tennessee",2044,Wholesale trade,BEA and NAICS,42,600,149.2170497526913,149.2170497526913
"Humphreys County, Tennessee",2036,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,72.0,72.0
"Humphreys County, Tennessee",2035,Transportation and warehousing,BEA and NAICS,48-49,800,555.7142857142857,611.5552369612849
"Humphreys County, Tennessee",2023,Total employment (number of jobs),BEA and NAICS,NA,10,9017.82142857143,9017.82142857143
"Humphreys County, Tennessee",2028,Government,BEA,NA,2000,1209.142857142857,0
"Humphreys County, Tennessee",2044,Utilities,BEA and NAICS,22,300,17.91969741053244,31.67740081479514
"Humphreys County, Tennessee",2029,Public Administration,NAICS,92,NA,0,887.3529227993243
"Humphreys County, Tennessee",2040,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,76.07142857142857,76.07142857142857
"Humphreys County, Tennessee",2037,Manufacturing,BEA and NAICS,31-33,500,1536.9642857142858,1536.9642857142858
"Humphreys County, Tennessee",2040,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,66.14285714285714,66.14285714285714
"Humphreys County, Tennessee",2029,Educational services,BEA and NAICS,61,1500,101.5244399185336,197.1672066501284
"Humphreys County, Tennessee",2035,Total employment (number of jobs),BEA and NAICS,NA,10,9838.67857142857,9838.67857142857
"Humphreys County, Tennessee",2022BL,Government,BEA,NA,2000,1140.0,0
